# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
15S_RRNA	Q0020	Q0020_rRNA	rRNA	0	0	0	611	0	0	0	0	328	0	0	0	0	45	0	0	0	0	0	0	0	0	238
21S_RRNA	Q0158	Q0158_rRNA	rRNA	1	2	0	718	0	0	0	0	205	0	0	177	0	91	1	0	3	0	0	0	0	0	248
AAC1	YMR056C	YMR056C_mRNA	protein_coding	0	0	0	465	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	301
AAC3	YBR085W	YBR085W_mRNA	protein_coding	3	2	5	117	0	0	0	0	67	3	0	0	5	0	0	0	0	0	0	0	0	2	50
AAD10	YJR155W	YJR155W_mRNA	protein_coding	0	0	0	271	0	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD14	YNL331C	YNL331C_mRNA	protein_coding	0	7	3	119	0	0	0	0	71	0	0	0	3	0	0	0	0	0	0	0	0	7	48
AAD3	YCR107W	YCR107W_mRNA	protein_coding	5	6	18	194	0	0	0	0	86	5	0	0	19	0	0	0	0	0	0	0	0	6	108
AAD4	YDL243C	YDL243C_mRNA	protein_coding	13	31	75	454	0	0	0	0	167	11	0	0	79	0	0	0	0	0	2	0	0	31	287
AAD6	YFL056C	YFL056C	pseudogene	0	0	0	217	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAH1	YNL141W	YNL141W_mRNA	protein_coding	4	3	11	113	0	0	0	0	23	4	0	0	11	0	0	0	1	0	0	0	0	3	90
AAP1	YHR047C	YHR047C_mRNA	protein_coding	10	6	1	111	0	0	0	0	67	10	0	0	1	0	0	0	0	0	0	0	0	6	44
AAR2	YBL074C	YBL074C_mRNA	protein_coding	4	2	6	176	0	0	0	0	147	4	0	0	6	0	0	0	0	0	0	0	0	2	29
AAT1	YKL106W	YKL106W_mRNA	protein_coding	13	8	29	291	0	0	0	0	104	13	0	0	29	0	0	0	0	0	0	0	0	8	187
AAT2	YLR027C	YLR027C_mRNA	protein_coding	5	6	18	260	0	1	0	1	67	4	0	0	17	0	0	0	0	0	1	0	0	6	193
ABD1	YBR236C	YBR236C_mRNA	protein_coding	10	11	22	230	1	1	0	0	165	9	0	0	21	0	0	0	0	0	2	0	0	11	65
ABF1	YKL112W	YKL112W_mRNA	protein_coding	24	29	51	460	0	2	0	0	165	21	0	0	49	0	0	0	0	0	4	0	0	30	295
ABF2	YMR072W	YMR072W_mRNA	protein_coding	5	8	15	606	0	0	0	0	340	4	0	0	16	0	0	0	0	0	1	0	0	8	266
ABM1	YJR108W	YJR108W_mRNA	protein_coding	3	7	15	192	0	0	0	0	62	2	0	0	16	0	0	0	0	0	1	0	0	7	130
ABP1	YCR088W	YCR088W_mRNA	protein_coding	5	2	4	430	0	0	0	0	71	5	0	0	4	0	0	0	0	0	0	0	0	2	359
ABP140	YOR239W	YOR239W_mRNA	protein_coding	14	4	15	840	0	0	1	1	532	14	0	0	17	0	0	0	0	0	1	0	0	5	308
ABZ1	YNR033W	YNR033W_mRNA	protein_coding	5	9	9	182	0	0	0	0	26	5	0	0	9	0	0	0	0	0	0	0	0	9	156
ABZ2	YMR289W	YMR289W_mRNA	protein_coding	10	3	23	351	0	0	0	1	117	9	0	0	22	0	0	0	0	0	1	0	0	3	234
ACA1	YER045C	YER045C_mRNA	protein_coding	2	6	8	191	0	0	0	0	125	2	0	0	8	0	0	0	0	0	0	0	0	6	66
ACB1	YGR037C	YGR037C_mRNA	protein_coding	3	2	4	508	0	0	0	1	207	2	0	0	3	0	0	0	1	0	0	1	0	2	301
ACC1	YNR016C	YNR016C_mRNA	protein_coding	136	60	274	93	2	4	6	2	57	123	0	0	285	0	0	0	0	0	14	0	0	68	36
ACE2	YLR131C	YLR131C_mRNA	protein_coding	6	6	13	267	0	0	0	0	102	6	0	0	14	0	0	0	0	0	0	0	0	6	165
ACF2	YLR144C	YLR144C_mRNA	protein_coding	3	4	4	86	0	0	0	0	35	3	0	0	4	0	0	0	0	0	0	0	0	4	51
ACF4	YJR083C	YJR083C_mRNA	protein_coding	3	1	2	157	0	0	0	0	48	3	0	0	2	0	0	0	0	0	0	0	0	1	109
ACH1	YBL015W	YBL015W_mRNA	protein_coding	22	16	74	460	0	0	0	0	344	21	0	0	74	0	0	0	0	0	1	0	0	17	116
ACK1	YDL203C	YDL203C_mRNA	protein_coding	1	6	3	84	0	0	0	0	46	1	0	0	3	0	0	0	0	0	0	0	0	6	38
ACL4	YDR161W	YDR161W_mRNA	protein_coding	99	19	103	1034	2	4	7	3	727	92	0	0	114	0	0	0	0	0	10	0	0	22	307
ACM1	YPL267W	YPL267W_mRNA	protein_coding	5	5	19	475	0	0	0	0	203	5	0	0	19	0	0	0	1	0	0	0	1	4	272
ACO1	YLR304C	YLR304C_mRNA	protein_coding	17	17	30	347	0	1	0	0	208	15	0	0	31	0	0	0	0	0	2	0	0	17	139
ACO2	YJL200C	YJL200C_mRNA	protein_coding	14	14	24	363	0	1	0	0	193	13	0	0	25	0	0	0	0	0	1	0	0	14	170
ACP1	YKL192C	YKL192C_mRNA	protein_coding	0	0	0	166	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	101
ACS1	YAL054C	YAL054C_mRNA	protein_coding	1	11	1	116	0	0	0	0	56	1	0	0	1	0	0	0	0	0	0	0	0	11	60
ACS2	YLR153C	YLR153C_mRNA	protein_coding	11	19	45	290	0	1	0	1	50	9	0	0	44	0	0	0	0	0	3	0	0	20	240
ACT1	YFL039C	YFL039C_mRNA	protein_coding	0	1	0	119	0	0	0	0	49	0	0	4	0	0	0	0	0	0	0	0	0	1	66
ADA2	YDR448W	YDR448W_mRNA	protein_coding	5	6	6	173	0	0	0	0	68	5	0	0	6	0	0	0	1	0	0	0	1	5	105
